78, 60, 62, 62, 64
73, 76, 66, 61, 75
88, 79, 76, 79, 81
87, 77, 75, 80, 84
86, 77, 78, 75, 84
87, 79, 81, 75, 78
81, 80, 85, 79, 79
87, 78, 75, 80, 84
84, 82, 79, 85, 78
88, 80, 81, 82, 80
81, 92, 81, 85, 89
86, 85, 88, 82, 88
87, 91, 79, 84, 87
84, 90, 89, 86, 80
81, 88, 82, 87, 90
84, 86, 80, 88, 89
92, 90, 85, 81, 92
86, 92, 91, 85, 87
86, 91, 92, 86, 87
91, 83, 84, 91, 91
92, 91, 84, 87, 89
91, 88, 90, 91, 91
92, 84, 92, 90, 92
88, 88, 92, 91, 91
92, 92, 87, 91, 88
87, 91, 92, 91, 91
89, 92, 90, 92, 88
90, 91, 90, 88, 92
95, 92, 96, 97, 95
92, 98, 96, 98, 96
